,min,mean,max,std
debit_pay_count,-1.0,0.587306300455,54.0,2.8349826055
debit_pay_amount,-1.0,508.88642368,99242.5,1898.66704849
debit_pay_amount_max,-1.0,276.752689246,22701.0,901.335108657
credit_count,-1.0,-0.176097244131,14.0,0.862729866071
credit_self_count,-1.0,-0.270891713835,10.0,0.739798278641
credit_pay_count,-1.0,-0.00139185302032,197.0,2.25799125928
credit_pay_amount,-1.0,254.758297485,142323.0,1995.58812757
credit_pay_amount_max,-1.0,136.359738146,30062.0,808.392151064
debit_count_ratio,-1.0,43.2930500139,100.0,48.3510816821
credit_count_ratio,-1.0,15.1082304909,100.0,34.1363471061
credit_count_radio,-1.0,23.0231975503,100.0,41.9799581285
credit_pay_count_ratio,-1.0,8.07722000557,100.0,27.0689634446
debit_pay_amount_ratio,-1.0,23.4046766261,100.0,42.3789318267
credit_pay_amount_ratio,-1.0,7.66903590981,100.0,26.7022876665
login_city_count_one,0.0,0.110030620766,4.0,0.344059646696
login_city_count_seven,0.0,0.274491973648,6.0,0.550422955345
verify_phone_count,0.0,0.000723763570567,3.0,0.0347242157673
verify_discity_phone_count,0.0,0.000185580402709,3.0,0.0182761178449
verify_password_count,0.0,0.00111348241626,3.0,0.0355067640319
